"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 20 23:05:45 MSK 2025","Tue May 20 23:05:46 MSK 2025","453","","clients.CourierLoginTest","","clients.CourierLoginTest","loginWithoutLoginData","Если нет поля 'login' запрос возвращает ошибку ",""
"passed","Tue May 20 23:05:42 MSK 2025","Tue May 20 23:05:43 MSK 2025","223","","order.CreateOrderTest","","order.CreateOrderTest","checkCreateOrder[1]","Тест на создание заказа, код ответа 201, в ответе есть track number",""
"passed","Tue May 20 23:05:34 MSK 2025","Tue May 20 23:05:41 MSK 2025","7239","","order.GetListOfOrdersTest","","order.GetListOfOrdersTest","checkGetListOfOrders","checkGetListOfOrders",""
"passed","Tue May 20 23:05:43 MSK 2025","Tue May 20 23:05:44 MSK 2025","1090","","clients.CourierCreationTest","","clients.CourierCreationTest","checkCreateCourier","Курьера можно создать, код ответа 200, запрос возвращает 'ok: true'",""
"passed","Tue May 20 23:05:47 MSK 2025","Tue May 20 23:05:48 MSK 2025","374","","clients.CourierLoginTest","","clients.CourierLoginTest","loginIncorrectPassword","Запрос с неправильным паролем выдает ошибку",""
"passed","Tue May 20 23:05:42 MSK 2025","Tue May 20 23:05:42 MSK 2025","572","","order.CreateOrderTest","","order.CreateOrderTest","checkCreateOrder[0]","Тест на создание заказа, код ответа 201, в ответе есть track number",""
"passed","Tue May 20 23:05:46 MSK 2025","Tue May 20 23:05:47 MSK 2025","891","","clients.CourierLoginTest","","clients.CourierLoginTest","loginIncorrectLoginData","Запрос с неправильным логином выдает ошибку",""
"passed","Tue May 20 23:05:43 MSK 2025","Tue May 20 23:05:43 MSK 2025","231","","order.CreateOrderTest","","order.CreateOrderTest","checkCreateOrder[3]","Тест на создание заказа, код ответа 201, в ответе есть track number",""
"passed","Tue May 20 23:05:44 MSK 2025","Tue May 20 23:05:45 MSK 2025","484","","clients.CourierCreationTest","","clients.CourierCreationTest","checkCannotCreateCourierWithSameLogin","Нельзя создать двух одинаковых курьеров, код ответа 409, 'message': 'Этот логин уже используется. Попробуйте другой.'",""
"passed","Tue May 20 23:05:48 MSK 2025","Tue May 20 23:05:48 MSK 2025","443","","clients.CourierLoginTest","","clients.CourierLoginTest","loginWithoutPasswordData","Если нет поля 'password' запрос возвращает ошибку ",""
"passed","Tue May 20 23:05:46 MSK 2025","Tue May 20 23:05:46 MSK 2025","639","","clients.CourierLoginTest","","clients.CourierLoginTest","loginWithCorrectData","Курьер может авторизоваться, успешный запрос возвращает 'id'",""
"passed","Tue May 20 23:05:44 MSK 2025","Tue May 20 23:05:44 MSK 2025","214","","clients.CourierCreationTest","","clients.CourierCreationTest","checkCannotCreateCourierWithoutPassword","Нельзя создать курьера без пароля, код ответа 400, 'message':'Недостаточно данных для создания учетной записи'",""
"passed","Tue May 20 23:05:43 MSK 2025","Tue May 20 23:05:43 MSK 2025","311","","order.CreateOrderTest","","order.CreateOrderTest","checkCreateOrder[2]","Тест на создание заказа, код ответа 201, в ответе есть track number",""
"passed","Tue May 20 23:05:45 MSK 2025","Tue May 20 23:05:45 MSK 2025","260","","clients.CourierCreationTest","","clients.CourierCreationTest","checkCannotCreateCourierWithoutLogin","Нельзя создать курьера без логина, код ответа 400, 'message':'Недостаточно данных для создания учетной записи'",""
